"","text","sentiment"
"41"," I m a Little Dazed   French Artist Says After Living in a Rock","Very Negative"
"42","Highlights  The Trump Presidency on March 1 at 8 16 P m  EST","Neutral"
"43","Two British Medics Who Joined Islamic State Killed in Iraq BBC","Negative"
"44","Sri Lanka s Tamil Party Asks for U N  Pressure Over Alleged War Crimes","Neutral"
"45","Tripoli Clashes Caused Extensive Damage to Property  Cars  District Mayor","Negative"
"46","Zimbabwe s Mugabe Off to Singapore for Medical Checkup","Neutral"
"47","Arrested Journalist Says Conditions in Turkish Detention Improve","Positive"
"48","East Europeans Decry  Double Standards  for Food  Seek Change to EU Law","Negative"
"49","Canada  U S  Join Forces on Tackling Border Asylum Seekers","Neutral"
"50","Macedonian President Withholds Mandate From Opposition Chief","Negative"
"51","Russian Airstrike in Syria Hits U S  Allies by Mistake","Negative"
"52","Russia  Syria Bombed U S  Backed Fighters in Syria  U S  General","Neutral"
"53","Dutch Right Wing Populist Wilders Returns to Campaign Trail","Positive"
"54","Austerity  Not on This Saudi Itinerary","Neutral"
"55","Dutch Nationalist Wilders to Resume Street Campaign","Neutral"
"56","Mount Etna  Europe s Most Active Volcano  Puts On a Show","Positive"
"57","Amare Stoudemire Says He Would Avoid Gay Teammate","Neutral"
"58","German Parliament Goes Offline but Hacking Not Suspected","Neutral"
"59","Germany s Gabriel Sees No Scope for Easing Russian Sanctions","Neutral"
"60","UN  Congo Used Excessive Force Against December Protesters","Negative"
"61","Afghan Envoy Appeals on Pakistan to Reopen Border Crossings","Neutral"
"62","11 Tortured Bodies Found in Veracruz  on Mexico s Gulf Coast","Negative"
"63","Austria  Man Tries to Enter Courthouse With Bag of Roaches","Neutral"
"64","Kurds to Participate in Raqqa Offensive U S  Commander","Negative"
"65","U S  Commander Downplays Chance of Big Iraq  Syria Troop Hike","Neutral"
"66","Zimbabwe s Mugabe Flies to Singapore for Medical Checks","Neutral"
"67","Israeli Settler Shoots  Kills Knife Wielding Palestinian Assailant","Very Negative"
"68","Puerto Rico Governor Wants Fewer Austerity Measures","Neutral"
"69","PM May Wants to See Brexit Bill Approved Without Changes  Spokesman","Neutral"
"70","Macedonia s President Blocks Social Democrat Government in Albanian Language Row","Neutral"
"71","Factbox  EU Outlines Five Post Brexit Scenarios to Keep Bloc Together","Neutral"
"72","Pope Francis Gets Ash Wednesday Ashes in Rome to Start Lent","Neutral"
"73","Juncker Launches Post Brexit EU Reform Proposals","Positive"
"74","Somaliland Deports 2 Aid Workers for Acts Against Islam","Neutral"
"75","Ex CIA Agent Freed in Portugal After Italy Drops Extradition","Neutral"
"76","Ex CIA Spy Freed in Portugal  Avoids Extradition Over Kidnapping","Neutral"
"77","50 Nations Seek to Counter US Ban on Family Planning Funds","Neutral"
"78","France Detects Possible Bird Flu Outbreak on Northern Farm","Negative"
"79","French President Rejects Fillon s Charges of Bias in Justice System","Very Negative"
"80","Philippines Moves Closer to Reinstating Death Penalty","Very Negative"
"81","Israeli Army  Palestinian Shot Dead After Stabbing Israeli","Negative"
"82","Spanish Trio Scoop Prestigious US Architecture Prize","Positive"
"83","Turkey  Syrian Rebels Attack U S  Allied Militia  Militia Official","Negative"
"84","Nigeria Says South Africa Deported 97 of Its Citizens After Raids","Neutral"
"85","Phones Cut in Eastern Ukraine as Rebels Seize Firms","Neutral"
"86","E U   Pressured from Inside and Out  Considers a Reboot","Negative"
"87","Court  Norway Didn t Violate Rights of Mass Murderer Breivik","Very Negative"
"88","New Syrian Peace Talks Planned for March 14 in Kazakhstan   Agencies","Positive"
"89","U N  Investigators Say Syria Bombed Convoy and Did So Deliberately","Neutral"
"90","Merkel Visits Egypt  Tunisia to Talk About Migration","Neutral"
"91","EU Unveils New Ideas to Ensure Unity as UK Prepares to Leave","Positive"
"92","UN Chief Warns of Burundi s Leader Seeking 4th Term","Neutral"
"93","Malaysian Inquiry in Kim Jong nam Killing Hampered as Suspects Hide in Embassy","Very Negative"
"94","1 Killed in Togo Protests Against Fuel Price Hike","Very Negative"
"95","Lesotho Set for Snap Election After Prime Minister Loses Confidence Vote","Neutral"
"96","U N  Panel to Share Syrian War Crime Suspects List  Chair","Negative"
"97","Thai Court Rejects Migrants  Appeals in Killings of 2 Brits","Negative"
"98","Amnesty Says Egypt Has Failed to Protect Christians","Neutral"
"99","French Artist Emerges After Spending Week Inside a Rock","Neutral"
"100","Iran  Turkey Presidents Meet to Defuse Tensions","Neutral"
"101","African Governments Urged to Donate to Fund for War Victims","Neutral"
"102","Macron Builds Party Machine and Momentum Before French Election","Neutral"
"103","Rising Inflation to Increase Grumbling About ECB Stimulus","Neutral"
"104","2 Taliban Bombings Kill 23 People in Kabul","Negative"
"105","EU s Foreign Policy Chief Begins Tour of Western Balkans","Neutral"
"106","Abuse Survivor Quits Pope s Panel Over Vatican Stonewall","Negative"
"107","Senior French Conservative Resigns From Fillon s Campaign Team","Negative"
"108","Senior Qaeda Leader Is Killed in Drone Strike","Very Negative"
"109","Top Muslim Cleric Lashes Out Against Abortion  Globalization","Neutral"
"110","Poland Criticized for Returning Asylum Seekers to Belarus","Negative"
"111","Macedonia  Journalists Attacked During Protest Rally","Very Negative"
"112","Funeral in India for Kansas Shooting Victim","Neutral"
"113","Germany  Detention of Reporter Straining Ties With Turkey","Negative"
"114","Thousands Defy Rally Ban to Celebrate Pakistani Blasphemy Murderer","Very Negative"
"115","AP Photos  East Europeans Mark Spring With Good Luck Charms","Very Positive"
"116","Both Syrian Sides See Gains in Peace Talks as Russia Weighs In","Positive"
"117","Maverick Dancer Polunin Seeks to Be David Beckham of Ballet","Neutral"
"118","Abuse Survivor Quits Pope s Commission Citing  Shameful  Resistance","Very Negative"
"119","UN Panel Alleges Aleppo War Crimes  Syria Talks Inch Forward","Neutral"
"120","Merkel Challenger Bashes Trump  Brexit at Rally","Neutral"
"121","Israel Soldier Appeals Conviction in Killing of Palestinian Attacker","Negative"
"122","House of Lords Chides UK Govt  Backs EU Citizens  Rights","Neutral"
"123","Syria Air Force Bombed Convoy  U N  Says in Aleppo Probe","Neutral"
"124","EU Takes Step Closer to Allowing Ukrainians Visa Free Entry","Positive"
"125"," Time Froze  at Bloody House of Missing French Family","Very Negative"
"126","Purge of Academics Leaves Future of Turkish Universities in Doubt","Negative"
"127","UN Suspends Services in Volatile Palestinian Camp in Lebanon","Negative"
"128","UK PM May s Brexit Plan Suffers Hitch in Parliament","Negative"
"129","François Fillon  French Presidential Candidate  Vows to Run Despite Inquiry","Neutral"
"130","U S  General Wants Russia to Open Up Major Exercise to Observers","Neutral"
"131","Slovenia and Croatia Clash Over Teran Red Wine Name","Negative"
"132","Egypt s Main State Daily in a Spat With Parliament Speaker","Neutral"
"133","Ex Syria Government Spokesman Takes New Stab at Diplomacy","Negative"
"134","Madrid Officials Impound Bus With Anti Transgender Message","Neutral"
"135","With a Roll of the Dice and Shouts of  Yalla   Jews and Arabs Face Off","Neutral"
"136","Nepal Banishes Old Vehicles From Kathmandu s Streets to Fight Smog","Neutral"
"137","Uighur IS Fighters Vow Blood Will  Flow in Rivers  in China","Neutral"
"138","Fillon Vows to Stay in French Presidential Election Race","Neutral"
"139","Malaysia to Release  Deport N  Korean in Nerve Agent Probe","Neutral"
"140","Syrian Government Forces Enter Palmyra  Drive Back Islamic State  Monitors","Neutral"
"141","The Latest  Top French Centrist Candidate Macron Hit by Egg","Neutral"
"142","U N  Nuclear Watchdog Chief to Discuss Iran Deal With Trump Officials","Neutral"
"143","German Foreign Minister Skeptical on Defense Spending Boost","Neutral"
"144","Poland Honors Anti Communist Fighters as Founders of Freedom","Neutral"
"145","Thailand Upholds Death Sentence for Myanmar Men Over 2014 Murder of British Tourists","Very Negative"
"146","Ethiopian Schools Linked to Turkish Cleric Are Sold","Neutral"
"147","As Philippines Police Await Return to Drugs War  More Bodies on the Streets","Positive"
"148","Mass Killer Breivik Loses Human Rights Case Against Norway","Very Negative"
"149","Israeli Forces Demolish 9 Homes in West Bank Settlement","Negative"
"150","Nurses at Zimbabwe s State Hospitals Go on Strike Over Pay","Negative"
"151","With a Pregnant Iraqi  Collapsed in a Desert  as Bullets Fly","Negative"
"152","As South Sudan Refugee Flood Continues  So Do Tales of Abuse","Negative"
"153","United Arab Emirates Leader Travels Abroad on  Private  Trip","Neutral"
"154","Dutch Court Finds Energy Firm Liable for Emotional Suffering","Very Negative"
"155","North Korea Says Kim Jong Nam VX Poison Claim Absurd","Very Negative"
"156","France s Fillon to Be Flanked by Ex Rival Juppe During Speech   Source","Negative"
"157","Cambodian Government Critic Killed Over Money  Accused Says","Very Negative"
"158","North Korea Says Claim Its Citizen Killed in Malaysia by VX Agent  Absurd ","Very Negative"
"159","Ex CIA Spy Freed in Portugal  Avoids Extradition Over Kidnapping","Neutral"
"160","Drivers Rebel Against Uber s Price Cutting Quest for Growth","Neutral"
"161","UN Rights Body Told to End Focus on Israel as US Mulls Exit","Neutral"
"162","OPEC Members Must Lower Costs to Compete With Shale Nigeria Oil Minister","Neutral"
"163","At Least One Dead  35 Wounded in Kabul Attacks  Afghan Official","Very Negative"
"164","France s Fillon Confers With Senior Party Members","Neutral"
"165","Boll Weevil  A Scourge That America and Mexico Fight Together","Negative"
"166","Iraqi Forces Push Toward Mosul Government Complex","Negative"
"167","Luxembourg Fends Off Cyberattack on Government Sites","Neutral"
"168","Japan Emperor to Meet Abandoned Vietnam Families of Soldiers","Negative"
"169","U S  Seeks End to U N  Rights Council s  Obsession  With Israel","Neutral"
"170","Man Confesses Killing Cambodia Activist but Family Doubts It","Very Negative"
"171","Wife of French Presidential Candidate Fillon Held for Questioning   Report","Neutral"
"172","IMF  Georgia Agree on  285 Million Three Year Programme IMF Official","Neutral"
"173","Taliban Suicide Attacks  Shootout Kill 16 in Afghan Capital","Very Negative"
"174","Taliban Says Attacks Targets in Afghan Capital Kabul","Negative"
"175","Facing Poll Slide  Wilders Resumes Campaign for Dutch Election","Neutral"
"176","Kremlin Says Patiently Waiting for U S  Policy Action on Russia","Neutral"
"177","Three Compete to Run Hong Kong  Balancing Beijing Masters and Calls for Democracy","Neutral"
"178","French Presidential Candidate Fillon Summoned by Investigating Magistrates  Report","Neutral"
"179","Latest Generation Chinese Combat Drone Makes Maiden Flight","Neutral"
"180","China  Russia to Step Up Opposition to South Korean Anti Missile System","Negative"
"181","South African Coal Truck Drivers Protest Against Renewables","Negative"
"182","China Calls for Calm on North Korea U N  Suspension Call","Positive"
"183","Fillon Vows to Stay in French Race Amid Defections","Neutral"
"184","Austria s Foreign Minister Suggests Halving Number of EU Commissioners","Neutral"
"185","Canadian Imprisoned in North Korea Meets Swedish Ambassador","Negative"
"186","Taliban Claim Attacks in Afghan Capital  at Least 15 Dead","Very Negative"
"187","Russia Backed Rebels Take Over Factories  Mines in Ukraine","Neutral"
"188","Minister  China to Cut 500 000 Heavy Industry Jobs","Neutral"
"189","From LOL Shirt to Bulletproof Vest  Hit Suspects Go to Court","Negative"
"190","In Tallinn  Gabriel Expresses Doubts on NATO Defense Spending Target","Negative"
"191","Iraqi Officers Find Islamic State Members Hidden Among Refugees Fleeing Mosul","Negative"
"192","Islamic State Militants Being Killed at Level They Cannot Sustain  UK General","Negative"
"193","U S  Backed Iraqi Forces Close In on IS Held Mosul Government Buildings","Neutral"
"194","France s Fillon Denounces Probe  Fights On for Presidency","Neutral"
"195","Former Addicts Try to Help Drug Users in Afghanistan","Neutral"
"196","Australia Calls Ambassadors Home to Reshape Foreign Policy  Trade","Neutral"
"197","Tamils Want Sri Lanka to Fulfill Promises to UN Rights Body","Neutral"
"198","Philippines  Duterte Signs Paris Pact on Climate Change","Neutral"
"199","South Korea  U S  Begin Large Scale Annual Drills Amid North Korea Tension","Negative"
"200","Iraqi Army Controls Main Roads Out of Mosul  Trapping Islamic State","Neutral"
"201","Saudi King Signs Range of Deals in Indonesia at Start of Visit","Neutral"
"202","Germany s Volatile INSA Poll Shows SPD Again Ahead of Merkel Party","Negative"
"203","Saudi Arabia Announces Indonesia Investments as King Visits","Neutral"
"204","U S  Pull Out From Pacific Trade Deal Hurts Confidence  Singapore PM Tells BBC","Neutral"
"205","U S  Military Marches Forward on Green Energy  Despite Trump","Neutral"
"206","U S  Military Marches Forward on Green Energy  Despite Trump","Neutral"
"207","German SPD Trims Merkel s Lead in Forsa Poll","Positive"
"208"," Ghost Tower  Haunts Bangkok 20 Years After Financial Crisis","Negative"
"209","Women Charged With North Korean s Murder Leave Court in Bullet Proof Vests","Negative"
"210","Asian Shares Climb on Back of Wall Street Highs","Neutral"
"211","Trump Recommits to U S  Allies but Says They Must Pay  Fair Share ","Positive"
"212","Spain s Supreme Court Rejects Request to Move Franco s Remains","Neutral"
"213","10 Country Summit in Pakistan Ends on Call for Closer Ties","Neutral"
"214","Trump  Yemen Raid Was Success  Gathered Vital Intelligence","Positive"
"215","New Trump Immigration Order Will Remove Iraq From List of Banned Countries  AP","Negative"
"216","Mexico Investigating Robbery of 1 4 Metric Tons of Silver","Neutral"
"217","Factbox  Main Themes of Trump s Speech to Congress","Neutral"
"218","Trump Recommits to U S  Allies but Says Must Pay  Fair Share ","Positive"
"219"," Ghost Tower  Haunts Bangkok 20 Years After Financial Crisis","Negative"
"220","Vietnam Slams Chinese Fishing Ban in South China Sea","Neutral"
"221","Australia Avoids Recession With Growth in December Quarter","Negative"
"222","China Factory Activity Picks Up Steam  Surveys Show","Neutral"
"223","Leather and Velvet Take Center Stage at Saint Laurent Paris Show","Positive"
"224","South Korea  U S  Begin Large Scale Annual Drills Amid North Korea Tension","Negative"
"225","Jordanian Immigrant Who Was Detained in Michigan Ordered Released","Neutral"
"226","Italy Reduces Sentence for Ex C I A  Officer Sought in Rendition Case","Neutral"
"227","Kona Beer Is Not From Hawaii  Consumers Say in Lawsuit","Neutral"
"228","Longing for Obama as President   of France","Negative"
"229","U S  Gathered Valuable Intelligence From Yemen Raid  U S  Official","Positive"
"230","Lockheed Martin Wins  1 06 Billion F 35 Contract  Pentagon","Neutral"
"231","In China  12 4 Million People Brought Above Poverty Line in 2016 Xinhua","Negative"
"232","Route to More Power for China s Xi Runs Through Remote Guizhou","Positive"
"233","Trump Critic Named Brazil s Foreign Minister","Negative"
"234","Late Congo Opposition Leader s Son Named as Successor","Negative"
"235","Bolivia s Morales Treated in Cuba for Viral Infection","Negative"
"236","Scottish Nationalists Treat Politics as a Game  Says May","Neutral"
"237","Bolivia s Morales to Stay a Few Days in Cuba for Throat Treatment","Neutral"
"238","Central American Gang Members Charged With Three New York Murders","Neutral"
"239","U S  Cigar Lovers Stock Up on Cuba Visits  Fearing Clampdown","Neutral"
"240","Ancient City of Palmyra Swings Back to Syrian Government Control","Neutral"
"241","Exclusive  Spirit Aero Tells Suppliers Jobs May Go Offshore Sources","Neutral"
"242","Teenager Jailed for Seven Years for Attack on Jewish Teacher in France","Negative"
"243","U S  Prosecutors Fight Ruling Limiting Foreign Bribery Cases","Negative"
"244","Germany Arrests 2 Syrians on Terrorism Charges","Negative"
"245","U S  Drugs Czar Stresses Need to Work With Mexico to Stem Drug Flow","Negative"
"246","Rachel Dolezal  Activist Who Identified as Black  Changes Name","Neutral"
"247","Avalanche Kills Three Skiers in Northern Italy","Very Negative"
"248","Kremlin Critic Says Russian Premier  Dmitri Medvedev  Built Property Empire on Graft","Very Negative"
"249","Bolivia Complains to France About Its Portrayal in Video Game","Negative"
"250","Egyptian Court Clears Way for Hosni Mubarak s Release","Neutral"
"251"," I ve Never Seen Such War  Says 90 Year Old Rescued From Mosul","Neutral"
"252","EU Urges Macedonia to Drop Block on  Albanian Language Row  Government","Neutral"
"253","Hungary to Submit New NGO Law to Parliament Next Week  Sources","Neutral"
"254","3 Mali Islamic Extremist Groups Merge  Pledge to Al Qaida","Negative"
"255","Missing Mexican Baseball Manager Estrada Found  Unharmed ","Neutral"
"256","EU s Foreign Policy Chief Urges Calm in Macedonia","Positive"
"257","State Dept  Official Praises Mexican Efforts in War on Drugs","Neutral"
"258","Trump Says Has  Total Confidence  in Attorney General Sessions","Positive"
"259","Mali Jihadist Groups Announce They Will Merge  Report","Neutral"
"260","Austrian Parties Agree on Parliamentary Inquiry Into Eurofighter Deal","Neutral"
"261","Hungary Builds New High Tech Border Fence With Few Migrants in Sight","Neutral"
"262","Noma s New Co Owner Is No Stranger to Getting His Hands Dirty","Neutral"
"263","The Mouse That Soared  Rodent Discovery Disrupts Flight to San Francisco","Neutral"
"264","Bodies of 3 Missing Found in Serbia After 2 Huge Blasts","Neutral"
"265","EU Member Countries Endorse Visa Free Entry for Ukrainians","Very Positive"
"266","Georgia s Supreme Court Rules Against Independent Broadcaster in Ownership Battle","Positive"
"267","Al Qaida Confirms Deputy Leader Killed in US Strike in Syria","Very Negative"
"268","FBI Holding Back Information on Russia Probes  Democrat Says","Neutral"
"269","Investigators Search House of French Presidential Candidate Fillon  Newspaper","Neutral"
"270","Turkish Foreign Ministry Summons German Ambassador Over Block on Minister Speaking  Sources","Neutral"
"271","Trump Win Probably Didn t Cause Canadian Immigration Website s Crash","Neutral"
"272","Key Experiment at World s Biggest Atom Smasher Gets Upgrade","Neutral"
"273","At Greece s Refugee Camps  Trying to Recreate the Everyday","Neutral"
"274","Syrian Government Says Opposition Holding Geneva Talks Hostage","Very Negative"
"275","Sweden Reinstates Conscription  With an Eye on Russia","Neutral"
"276","Driver Carrying Gas Canisters in Trunk Detained in Belgium","Neutral"
"277","Juncker  EU Should Be  Soft Power  Amid Defense Pressure","Positive"
"278","A Look at Palmyra  Syria s Historic Town Retaken From IS","Neutral"
"279","U S  House Judiciary Democrats Ask FBI to Investigate Sessions","Neutral"
"280","No Work Means Ethiopia Is No Home for Refugees Report","Neutral"
"281","Evangelical Rio Mayor Skips Carnival  Drawing Ire and Praise","Neutral"
"282","Catalans Prepare Vote for Independence From Spain","Neutral"
"283","U S  House Speaker  No Reason for Sessions Recusal From Russia Probes","Neutral"
"284","Germany s Divided Anti Immigrant Party Faces Rocky Election Road","Negative"
"285","German SPD Membership Surges With New Leader in Election Year","Neutral"
"286","David Rubinger  Who Snapped Israel s Best Known Photos  Dies Aged 92","Neutral"
"287","Test for Egypt as Christian Families Flee Islamic State Hit Lists","Negative"
"288","Brussels Police Detain Driver of Car Carrying Gas Cylinders","Neutral"
"289","Ukraine  Blockaders  Try to Cut Off Rail Traffic From Rebel Areas","Negative"
"290","Polish EU Lawmaker in Hot Water Over Sexist Comments","Neutral"
"291","Ex NBA Star Stoudemire Sorry About Gay Teammate Comments","Negative"
"292","U S  Senate Intelligence Chairman Does Not Call for Sessions Recusal","Neutral"
"293","Palestinian Israeli Covers the World in Viral One Minute Videos","Neutral"
"294"," Auto Destructive Art  Pioneer Gustav Metzger Dies at 90","Very Negative"
"295","Russia Hosts Leader of UN Backed Libyan Government","Neutral"
"296","Jehovah s Witnesses Ask Kremlin for Relief From Pressure","Positive"
"297","U S  Pounds Al Qaeda in Yemen With More Than 20 Strikes","Positive"
"298","U N  Says Tide of Refugees From South Sudan Rising Fast","Neutral"
"299","At Least 57 Al Shabab Extremists Killed in Somalia Assault","Very Negative"
"300","Syrian Opposition Member Says Prospects at Geneva Talks  Very Dim ","Very Negative"
"301","EU Court Limits After Sales Service Hotline Costs","Negative"
"302","Cyprus Expects a Record Number of Tourists to Arrive in 2017","Neutral"
"303","Saudi King Salman Embraces  Selfie  on Tour Across Asia","Neutral"
"304","Russia Accuses NATO  EU and Albania of Meddling in Macedonia","Negative"
"305","Turkey s Treatment of Journalist Damaging German Turkish Ties Minister","Negative"
"306","Poland Probes Whether Pole Died Fighting With IS in Syria","Negative"
"307","ACLU Seeks Potential Perjury Investigation for U S  Attorney General","Neutral"
"308","3 Skiers Killed  5 Hurt in Avalanche in Italian Alps","Very Negative"
"309","Turkey  U S  on Collision Course Over Kurdish Role in Battle for Syria s Raqqa","Neutral"
"310","Canada Not Convinced It Will See Surge in People Crossing Border","Neutral"
"311","Al Qaeda Confirms Leader Killed by Drone Strike in Syria","Very Negative"
"312","North and South Korea Give China a Double Headache","Negative"
"313","With Rocketing Population  Pakistan to Conduct First Census in 19 Years","Neutral"
"314","Syrian Army Announces Recapture of Palmyra From Islamic State","Neutral"
"315","Hungary s 2nd Fence on Serbian Border to Be Built by May 1","Neutral"
"316","Kremlin  Sessions Uproar an Impediment to Fixing Relations","Very Negative"
"317","House Democratic Leader Calls for Sessions   Resignation or Removal ","Negative"
"318","On Europe s Far Right  Female Leaders Look to Female Voters","Positive"
"319","House Republican Leader Says  Easier  if Sessions Recused Himself","Neutral"
"320","Back From the Dead  Chinese Iron Ore Miners Plot Return as Prices Surge","Very Negative"
"321","5 Injured in Roof Collapse at South African Hospital","Very Negative"
"322","Austrian Court Convicts 8 Iraqi Men in Tourist s Gang Rape","Negative"
"323","German High School Bans Prayer Rugs as  Provocative ","Negative"
"324","Mexico Says It Will Defend Rights of Its Migrants  Cooperate With U N ","Neutral"
"325","Duterte May Be Guilty of Crimes Against Humanity  Rights Group Says","Negative"
"326","Patients Trapped After Roof Collapse at Johannesburg Hospital","Very Negative"
"327","German Authorities Block Events Where Turkish Ministers to Speak","Neutral"
"328","1 Year Penalty Sought for Journalist in Indonesia Drug Case","Negative"
"329","House Oversight Panel Chair  Sessions Should  Clarify His Testimony ","Negative"
"330","Democrat Franken Says Sessions  Extremely Misleading  on Russia","Negative"
"331","Torn Ballet Shoes  and a Life Upended","Neutral"
"332","Saudi Court Jails Two Over 2011 Protests","Negative"
"333","Germany Says to Keep Soldiers in Baltics as Long as Needed","Neutral"
"334","Germany s Gabriel to Discuss Syria  Ukraine and Libya in Moscow on March 9","Neutral"
"335","Kenyan Forces Battle Al Shabaab Militants in Somalia","Neutral"
"336","Abu Dhabi Hosts Military Drill Amid Yemen War  Iran Tensions","Neutral"
"337","Croatia Creates Panel to Study Its Pro Nazi  Communist Past","Neutral"
"338","Merkel Visits Egypt With Eye on Stemming Migration","Neutral"
"339","Mining Workers From France  Tanzania Kidnapped in Congo","Neutral"
"340","Vietnam Pledges Help for Airport Murder Accused as Sympathy Rises","Negative"
"341","Spain s Capital Bans Bus With Anti Transgender Message","Neutral"
"342","Trump May Give the Pentagon More Authority to Conduct Raids","Positive"
"343","Euro Lawmakers Press EU to Impose Visas on U S  Citizens","Negative"
"344","More Cracks Emerge in Fillon Campaign as Rivals Push Ahead","Very Negative"
"345","Sudan Appoints Prime Minister for First Time Since 1989","Neutral"
"346","U S  Pounds Al Qaeda in Yemen With More Than 20 Strikes","Positive"
"347","EU Parliament Lifts Le Pen Immunity Over Gruesome Tweets","Negative"
"348","U S  Attorney General Sessions Says to Recuse Himself When  Appropriate  NBC News","Positive"
"349","Russia and Syria Say Opposition Trying to Wreck Peace Talks","Negative"
"350","8 Miners Killed by Ukraine Coal Mine Blast  6 Miners Injured","Very Negative"
"351","Kurdish Forces Seize Kirkuk Oil Facility Demanding Iraq Build a Refinery","Negative"
"352","German Travelers Continue to Shun Turkey This Summer","Negative"
"353","Syrian Opposition Member Says Prospects at Geneva Talks  Very Dim ","Very Negative"
"354","UK Government Will Win Over Scotland With Good Brexit Deal  Minister","Very Positive"
"355","Merkel Under Fire for Downplaying Concerns About Egyptian Rights","Negative"
"356","Methane Gas Explosion Kills Eight Miners in Western Ukraine  20 Missing","Negative"
"357","Egypt s Mubarak Acquitted in Final Ruling on 2011 Deaths","Neutral"
"358","Nigerian President  Out of Country Due to Illness  Speaks to Moroccan King","Negative"
"359","U S  Pounds Al Qaeda in Yemen With More Than 20 Strikes","Positive"
"360","German Mayor Appeals for Calm as Syrian Arrested for Killing","Neutral"
"361","Kremlin Says Unaware of U S  Attorney General s Meetings With Russian Envoy","Neutral"
"362","France Says Working to Free French National Kidnapped in Congo","Positive"
"363","Serbian Presidential Vote Set for April 2  Vucic Favored","Neutral"
"364","Serbia s Parliament Speaker Calls Presidential Election for April 2","Neutral"
"365","French Presidential Candidate Macron Criticizes Trump s Policies","Neutral"
"366","Gunmen Kidnap 3 Teachers at Kenya Refugee Camp  Police Say","Neutral"
"367","European Parliament Pushes for Reimposition of Visas for US","Neutral"
"368","UK Business Leader Warns Over Brexit s  Worst Case Scenario ","Negative"
"369","Russia Reviewing Montenegrin Request to Investigate Coup Plot","Negative"
"370","Visegrad Leaders Call for Bigger Role for Nations in EU","Neutral"
"371","Ex CIA Agent Freed in Europe Thanks Trump Administration","Neutral"
"372","Northern Ireland Bids to Break Political Deadlock in Snap Election","Very Negative"
"373","Ethiopia Marks Victory Over Italian Forces That Kept It Free","Very Positive"
"374","Syrian Army Announces Recapture of Palmyra From Islamic State","Neutral"
"375","The Latest  Geneva Talks to Focus on Syria Transition Friday","Neutral"
"376","Manbij Villages Will Be Handed to Syria Government in Coming Days  Local Official","Neutral"
