"","text","sentiment"
"30","Washington Produces Record Harvest of Wine Grapes in 2016","Neutral"
"31","Beloved Railroad Seen in  La La Land  Chugging Back to Life","Positive"
"32","White House Staff Told to Preserve Russia Related Materials","Neutral"
"33","No Change to Mortgage Interest Deduction in Trump Tax Plan  Mnuchin","Neutral"
"34","The Latest  White Sox s Abreu to Testify for 2nd Day","Neutral"
"35","GOP Congressman Critiques Female Colleagues  Attire","Neutral"
"36","Singled Out by Trump  Harley Davidson Opposed Higher Tariffs","Negative"
"37","Fast Learner  Trump Gains Skill in Using Trappings of Office","Positive"
"38","Legos Ready to Blast Off With  Women of NASA  Set","Neutral"
"39","Judge to Consider  1 Million Settlement in US Border Killing","Negative"
"40","Trump s Foreign Policy Becoming Increasingly Risk Averse","Very Negative"
"41","Why Deporting Undocumented Immigrants Could Slow US Economy","Very Negative"
"42","Parents of Child Who Died After Taking Opioids Are Charged","Negative"
"43","Hawaii Bill Targeting Commercial Fishing Industry Dies","Negative"
"44","Kennedy Center Appoints First Director of Hip Hop Culture","Neutral"
"45","The Latest  Utah Jury Gets Attorney General Bribery Case","Negative"
"46","Backed by Law Enforcement  Undocumented Immigrant Gets Reprieve","Negative"
"47","Police  2 Runaway Calves on the Lam in Cape Cod Woods","Negative"
"48","Yes  What You Do or Say in an Uber May Be Recorded","Neutral"
"49","Trump Budget Hits Coast Guard Ship  Project of GOP Senator","Neutral"
"50","Georgia Couple Get Prison for Racial Threats at Black Child s Party","Very Negative"
"51","Judge Turns Down Appeal Request by 3 Penn State Ex Officials","Neutral"
"52","Trump Has Made This Pivot to Discipline Before","Neutral"
"53","Lightning Strike at New York Airport Disrupts Dozens of Flights","Negative"
"54","AP Exclusive  Accountants in Oscar Mistake Are Off the Show","Negative"
"55","Trump Idea to Expand Health Care Competition Faces Hurdles","Neutral"
"56","Academy Apologizes For in Memoriam Mistake","Negative"
"57","IRS  Deadline Near to Get  1 Billion Unclaimed 2013 Refunds","Neutral"
"58","Immigrant Licenses Complicate Minnesota s Real ID Effort","Neutral"
"59","New York s Catholic Church Seeks  100 Million Loan to Pay Priest Victims","Neutral"
"60","School Board in Key Transgender Case Seeks U S  High Court Delay","Negative"
"61","Former Secretary of State Kerry Joins Carnegie Endowment","Neutral"
"62","Prosecutors  Sheriff s Officer Stole Cocaine From Department","Negative"
"63","Deputy  4 Children Dead  3 People Injured in Oregon Fire","Very Negative"
"64","19 in Europe  US Charged in International Fraud Schemes","Negative"
"65","Young  Moonlight  Stars Return From Oscars to Middle School","Neutral"
"66","U S  Communications Agency Considers Helping in Probe of Jewish Center Threats","Negative"
"67","Trump s Immigration Mixed Message Draws Skepticism","Negative"
"68","Police  Man Undergoes Surgery After Being Shot by Officer","Neutral"
"69","Judge Approves Release of Florida Nightclub Shooter s Widow","Neutral"
"70","Chain Reviewing Dress Policy After Flap With Veterans Group","Neutral"
"71","Fact Check  Trump and Military Spending","Neutral"
"72","Lawsuit  Memphis Police Threatened  Followed Labor Activists","Negative"
"73","Catholic Chapel in New Jersey Mall Closing After Decades","Neutral"
"74","Former Harvard Law Worker Accused of Stealing Nearly  48 000","Very Negative"
"75","The Latest  Judge  Proof Against Shooter s Wife  Debatable ","Negative"
"76","Kellyanne Conway  Inadvertently  Plugged Ivanka Products  White House","Neutral"
"77","1 of 2 Shot Houston Officers Discharged From Hospital","Neutral"
"78","Virginia School Board  Court Should Delay Transgender Case","Negative"
"79","AP Explains  Trump s New Office on Immigrant Crime","Negative"
"80","APNewsBreak  School Led Locker Room Assault Investigation","Negative"
"81","Jury Weighs Fate of Ex Utah Attorney General in Bribery Plot","Very Negative"
"82","Video of Men Hooking Shark at Pier Sparks State Probe","Negative"
"83","Fed Survey Finds Economy Growing at Moderate Pace","Neutral"
"84","The Latest  Clerk Shot in Kansas in Critical Condition","Negative"
"85","Sheriff s Deputy Shoots  Wounds Louisiana Robbery Suspect","Very Negative"
"86","Sen  Rubio Booted From Building After Protests Upset Tenants","Very Negative"
"87","House  Senate Letters Back Asia Military Funding Proposal","Neutral"
"88","Ex Secret Service Agent Pleads Guilty to Enticing Teen Girl","Negative"
"89","Heroin Addict Gets Life for Killing His Friend s Girlfriend","Very Negative"
"90","Supreme Court Returns Virginia Voting District Case to Lower Court","Positive"
"91","US General  Russia Inadvertently Struck US Backed Syrians","Negative"
"92","Texas Supreme Court Hears Challenge on Same Sex Marriage Rights","Positive"
"93","Judge Enters Plea for Suspect in Orlando Officer Killing","Very Negative"
"94","AP Exclusive  Taxes Could Flow With Dakota Access Pipeline","Neutral"
"95","Idaho Bill Seeks to Block Lawmaker Emails From Public View","Neutral"
"96","Oklahoma Faces Continued Risk of Quakes Linked to Drilling  USGS","Negative"
"97","The Latest  47 Years Prison for Father in Slaying of 4 Kids","Negative"
"98","Classified US Satellite Launched From California","Neutral"
"99","Trump Poised to Lift Federal Coal Ban  Other Green Rules  White House","Neutral"
"100","Lawmaker Says Trump Infrastructure Plan Not All Gov t Money","Neutral"
"101","Illinois Senate Cancels Budget Votes  Leader Blames Rauner","Neutral"
"102","Zion National Park Closes Climbing Cliffs to Protect Falcons","Positive"
"103","Montana Governor Calls for May 25 Election to Replace Zinke","Neutral"
"104","Pepsi to Lay Off 80 to 100 Workers  Citing Philadelphia Tax","Neutral"
"105","White House Supports Renewal of Spy Law Without Reforms  Official","Neutral"
"106","Remote Croatian Island Marks Victory Over Pirates With Carnival Cheer","Very Positive"
"107","Michigan State Toughens Policy After Sexual Assault Scandal","Very Negative"
"108","Official  Calif  Faces  50B Price Tag for Flood Control","Neutral"
"109","The Latest  Feds Drop 5 Cases Brought by Arrested Officers","Neutral"
"110","Fact Sheet  2017 Toyota Prius Prime","Neutral"
"111","Toyota Adds Most Fuel Efficient Prius","Very Positive"
"112","Seeing Bias  NAACP Seeks Review in Building Collapse Case","Very Negative"
"113","Murder Carjacking Suspect Captured in Kansas  Police","Very Negative"
"114","Rhode Island Lawmakers Congratulate Oscar Winner Viola Davis","Positive"
"115","Car Parts Maker Says Scam Got Tax Info for 2 400 Workers","Negative"
"116","Mayor  Photo Showing Border Patrol in New Jersey in a Hoax","Negative"
"117","Chicago s Lack of Snow in 2017 Sets 146 Year Record","Negative"
"118","Confederate Statue to Be Removed From Outside Courthouse","Neutral"
"119","Lawyer  Experts Say Man Who Beheaded Son Ready for Release","Neutral"
"120","Midwest Survey Suggests Manufacturing Boosting Economy","Neutral"
"121","Click for Candy  How Online Retailers Boost Impulse Buys","Positive"
"122","Ex Judge Banned From Nevada Bench for Handcuffing of Lawyer","Negative"
"123","Mississippi Suspect s Mayhem Fueled Run Ends in Fiery Crash","Very Negative"
"124","Fast and Felonious  Ex Con Steals Maserati During Test Drive","Very Negative"
"125","Senate Confirms Trump s Pick Zinke as Interior Secretary","Neutral"
"126","NY Archdiocese Seeks  100M Mortgage to Pay Sex Abuse Claims","Negative"
"127","Shoot Melons  Kill Bugs  How Businesses Make Creative Videos","Negative"
"128","Kellyanne Conway and the Battle over Decorum","Neutral"
"129","Colts Owner  Ex Punter Boost Indiana Teen Deaths Reward Fund","Very Positive"
"130","The Latest  Ben Carson Clears Initial Senate Test Vote","Neutral"
"131","The Latest  Sisters of Slain Men Testify at Hernandez Trial","Neutral"
"132","Man Accused of Unwanted Toe Sucking  Foot Massaging at Mall","Very Negative"
"133","He Will Soon Run a Fifth of the Nation  Meet Ryan Zinke ","Neutral"
"134","Real Woman Seeks Donations to Counter  Real Women  Billboard","Neutral"
"135","Former ABC News Employees Urge Strong Stand Against Trump","Neutral"
"136","As North Koreans Use Phones  State Finds New Ways to Censor","Neutral"
"137","NTSB Launches Probe Into Plane Crash That Killed Ex Mayor","Very Negative"
"138","U S  Top Court Backs Review of Virginia Voting Districts in Race Case","Neutral"
"139","Steamed in the School Caf Over Restrictions on Lunch Sharing","Neutral"
"140","Mr  T  Simone Biles Among New  Dancing With the Stars  Cast","Neutral"
"141","Texas Court Hears Case That Could Dent Gay Marriage Right","Neutral"
"142","High Court Ruling Could Reshape Virginia Political Map","Neutral"
"143","Latest  Husband of Plane Crash Survivor Says She s Stable","Negative"
"144","US Factories Grew Last Month at Fastest Pace Since 2014","Neutral"
"145","Arkansas Governor Backs Separate Martin Luther King  Robert E  Lee Days","Neutral"
"146","US Construction Spending Drops 1 Percent in January","Neutral"
"147","Feds  Criminal Officers Stole From the Innocent in Baltimore","Very Negative"
"148","Sheriff  On Duty Deputy Dead in Crash May Have Fallen Asleep","Very Negative"
"149","Cops  Wife Killed Husband After Fight Over Burned Casserole","Very Negative"
"150","Hawk Stuck in Vehicle Grille in Massachusetts Is Euthanized","Negative"
"151","Lured by Deals  Car Buyers Go for SUVs  Pickups in February","Neutral"
"152","Markets Right Now  Stocks Rise Sharply  Dow Over 21 000","Neutral"
"153","Pies  Pizza and Potatoes  Real Food Takes a Bow Onstage","Neutral"
"154","Ex Power Player Seeking Probation in United Bribe Scheme","Neutral"
"155","New Trump Travel Order Expected in Coming Days  Pence Says","Neutral"
"156","3 Students Still Hospitalized After Mardi Gras Parade Crash","Negative"
"157","Correction  Missing Teacher Georgia Story","Neutral"
"158","Storms That Killed Three in U S  Midwest Roll East With Wind  Hail","Neutral"
"159","Boy Dies After Being Left in SUV Outside Florida Day Care","Negative"
"160","The Latest  2 Arkansas Twisters Had Winds of 110 115 Mph","Neutral"
"161","US Consumer Spending Up Slightly  Inflation at 4 Year High","Neutral"
"162","California Today  Can Los Angeles Homelessness Be Solved  The Mayor Thinks So","Neutral"
"163","Deadly Storm in Midwest Sounded Like  Explosion of Glass ","Neutral"
"164","Man Accused of Carjacking FedEx Driver in Central Florida","Negative"
"165","Some Facts About Hail From the National Weather Service","Positive"
"166","Hershey Expects to Cut 15 Percent of Global Workforce","Neutral"
"167","Record 3 Million Tweets Sent on Trump s Speech to Congress","Neutral"
"168","Trump s Interior Dept  Pick Wins Senate Confirmation","Neutral"
"169","Missouri Senate Votes Down LGBT Discrimination Protections","Very Negative"
"170","Posters at Langley Air Force Base Removed After Complaints","Negative"
"171","The Latest  Zinke Sworn In as Interior Secretary","Neutral"
"172","No  Kid  Ding  Man to Spend Lottery Win on House  Goat Room","Neutral"
"173","10 Things to Know for Today","Neutral"
"174","Judge  86 Year Old Jewel Thief Payne Too Sick for Trial","Negative"
"175","Chance the Rapper Added to Essence Festival","Neutral"
"176","Republicans in Washington Are in Control  but Not in Agreement","Neutral"
"177","White Sox s Abreu to Jury  I Ate Fake Passport on Way to US","Negative"
"178","DC s Cherry Blossoms Could Hit Peak Bloom in 2 Weeks","Positive"
"179"," It Could Happen Anywhere ","Neutral"
"180","5 Key Takeaways From President Trump s Speech","Neutral"
"181","Eric Garcetti Makes His Case as Mayor of Los Angeles","Neutral"
"182","Democrats in Speech Rebuttal Say Trump Will  Rip  Away Care","Negative"
"183","Democrats Exercise the Art of Dissent in Subtle Ways","Negative"
"184","Questions and Answers About Upcoming Travel Ban Order","Neutral"
"185","Top Intel Nominee Pledges to Resist Political Pressure","Neutral"
"186","AP FACT CHECK  Trump Jumps the Gun on NATO  Jobs Claims","Neutral"
"187","Trump Salutes Widow of Slain SEAL in Emotional Moment","Negative"
"188","Officials  New Trump Travel Ban Removes Iraq From List","Neutral"
"189","Fact Check  Trump s Address to Congress","Neutral"
"190","Trump Speech Leaves GOP Encouraged  but Still Divided","Neutral"
"191","As Mardi Gras Revelry Ends With a Party  Lent Begins","Neutral"
"192","Analysis  A Softer Trump Wins Praise  But Will It Last ","Positive"
"193","Former Montana Rep  Zinke Takes Helm of Interior Department","Neutral"
"194","GOP  Trump Budget Plan Cuts Both Too Deeply and Not Enough","Neutral"
"195","Pick 6  Notre Dame  Texas Positioned for Turnaround in 2017","Neutral"
"196","UC Releases Details on 113 Employee Sexual Misconduct Cases","Neutral"
"197","Victims of California Plane Crash Identified by Relatives","Negative"
"198","NFL Prospects Have Been Prepping for This Big Week","Neutral"
"199","The Latest  China Rejects Trump Claim It Took US Jobs Away","Negative"
"200","Airports  Legal Volunteers Prepare for New Trump Travel Ban","Neutral"
"201","With Nation Watching  Widow of Fallen SEAL Becomes a Face of Bravery","Negative"
"202","Trump Gives Nod to Republican Tax Credit Proposal on Obamacare","Neutral"
"203","Spiritual Medium Rebecca Rosen Gets Personal in New Book","Neutral"
"204","Trump Softens Immigration Stance  Takes Measured Tone in Speech","Neutral"
"205","Correction  Orlando Shooter s Wife Story","Neutral"
"206","Republicans Lack Agreement on Obamacare Ahead of Trump Speech","Negative"
"207","In Speech  Trump Tries to Turn From Divisive to Deal Maker","Negative"
"208"," Phenomenal  California Snowpack Nears Record Depths","Positive"
"209","AP Explains  Trump Executive Order on Water Protection","Neutral"
"210"," Burn in Hell  Says Wife Whose Detroit Area Husband Killed 4","Very Negative"
"211","Paying Tribute to Widow of Slain SEAL","Neutral"
"212","Waldorf Astoria Hotel Closing for Transformative Makeover","Neutral"
"213","Trump Promises Tax Relief  Immigration Overhaul in Congress Address","Positive"
"214","Defense  Killer of 2 Is Star Witness  Not Aaron Hernandez","Neutral"
"215","Feds Seek Ex NFL Player s Pension for Charity Restitution","Neutral"
"216","Ohio Man Pleads Guilty in Bomb Plot on New York Prison Guard","Very Negative"
"217","Air Force Agrees to Settle Ohio Base Discrimination Lawsuit","Negative"
"218","Trump Outlines an Ambitious Agenda","Positive"
"219","Health Care Is Front and Center in Democrats  Response to Trump Address","Neutral"
"220","Trump Offers  Miracles   but Few Details on How to Achieve Them","Neutral"
"221"," Today  He Acted Like a Politician   Voters  Reactions to Trump s Speech","Positive"
"222","Trump s Address to Congress","Neutral"
"223","UC Releases Details on 113 Employee Sexual Misconduct Cases","Neutral"
"224","From  America First  to a More Conventional View of U S  Diplomacy","Positive"
"225","6 Wounded in Ohio Apartment Complex Shooting","Negative"
"226","Trump Seesaws on Legal Status for Undocumented Immigrants","Negative"
"227","Trump Supporters Praise Softer Tone in Address to Congress","Positive"
"228","AP PHOTOS  Best of Carnival in Latin America  Caribbean","Positive"
"229","New Trump Travel Order Will Aim to Short Circuit Legal Challenges","Neutral"
"230","New Trump Immigration Order Will Remove Iraq From List of Banned Countries  AP","Negative"
"231","Tornadoes  Storms Rip Through U S  Midwest  Killing at Least Two","Very Negative"
"232","Today in History","Neutral"
"233","Analysis  Trump Pivot Pleases GOP  but Will It Last ","Neutral"
"234","In Their Choice of Guests  Trump and Congressional Democrats Sent Dueling Messages","Neutral"
"235","Lady Gaga to Headline Coachella in Place of Beyonce","Neutral"
"236","Former AP Correspondent Sam Summerlin Dies at 89","Negative"
"237","Speech Viewers Stunned by On Script  Less Fiery Trump","Negative"
"238","Before Congress  a Subdued Trump Still Gets Friends and Foes Worked Up","Negative"
"239","In Emotional Moment  Trump Salutes Slain SEAL s Wife","Negative"
"240","Trump s Plan for the Economy","Neutral"
"241","Metropolitan Museum of Art Director Resigns","Neutral"
"242","AP FACT CHECK  Trump Overstates Origin of Terror Suspects","Very Negative"
"243","Officials  New Trump Order Drops Iraq From Travel Ban List","Neutral"
"244","The Latest  How Might Trump s  Merit Based  Migration Work ","Positive"
"245","Trump Promises Tax Relief  Immigration Overhaul in Congress Address","Positive"
"246","The Democratic Response to Trump s Speech  Fact Checks","Neutral"
"247","Dems Stick With Muted Ways of Exercising Art of Dissent","Negative"
"248","Democratic Response to Trump s Speech  Video and Transcript","Neutral"
"249","Trump on Obamacare","Neutral"
"250","Ever a Showman  Donald Trump Keeps Washington Guessing","Neutral"
"251","Trump on Immigration and Terrorism","Negative"
"252","AP FACT CHECK  As Share of Budget  Trump Hike Not the Top","Neutral"
"253","AP FACT CHECK  Trump Takes Credit He Hasn t Earned","Neutral"
"254","Democrats  Response to Trump","Neutral"
"255","Trump Supporters Stand by Their Man Despite Rocky Start","Negative"
"256","AP FACT CHECK  Trump Claims Credit for Jobs That Predate Him","Neutral"
"257","William Liebenow  97  Dies  PT Boat Skipper Rescued Kennedy","Negative"
"258","AP FACT CHECK  Trump Actions Threaten Those He Wants to Help","Neutral"
"259","Text of President Donald Trump s Speech to Congress","Neutral"
"260","AP FACT CHECK  Trump Takes Undue Credit for F 35 Savings","Negative"
"261","The Latest   50 000 Reward in Jewish Cemetery Vandalism","Positive"
"262","Fact Check  Trump s First Address to Congress","Neutral"
"263","AP FACT CHECK  Trump s Overly Downbeat View of Health Law","Negative"
"264","Trump s Speech to Congress  Video and Transcript","Neutral"
"265","One Dead as Tornado Rakes Northern Illinois","Negative"
"266","AP FACT CHECK  Trump on  Massive  Tax Cut for Middle Class","Neutral"
"267","Aileen Hernandez  90  Ex NOW President and Feminist Trailblazer  Dies","Negative"
"268","Was Texas Voter ID Law Biased  Justice Dept  Stays Out of Argument","Negative"
"269","Penguin Random House Lands Book Deal With Obamas","Neutral"
"270","Trump to Promise  Massive  Middle Class Tax Relief in Speech","Very Positive"
"271","Threats and Vandalism Leave American Jews on Edge in Trump Era","Negative"
"272","Trump s Speech to Congress and Democrats  Response  Video and Analysis","Neutral"
"273","Father of Seattle  Dreamer  Charged With Immigration Crime","Negative"
"274","Full Speech  President Addresses Lawmakers","Neutral"
"275","Excerpts From President Donald Trump s Speech to Congress","Neutral"
"276","State Says Keep Woody Guthrie Image Off Oklahoma Capitol","Neutral"
"277","The Latest  Widow of Navy SEAL Emotional at Trump Speech","Negative"
"278","Kellyanne Conway Casually Sits  and Etiquette Arbiters Take a Stand","Neutral"
"279","10 Things to Know for Wednesday","Neutral"
"280","National Aquarium s Oldest Dolphin  Nani  Dies at 44","Negative"
"281","Was President  an Enemy of Anonymous Sources  One Himself ","Negative"
"282","Parents Arrested After 2 Year Old Found Wandering Along Road","Neutral"
"283","The Latest  1 Death in Missouri Blamed on Severe Storms","Very Negative"
"284"," Gary From Chicago   Oscar Ceremony Star  Has Quite a Back Story","Neutral"
"285","Police Seeking Intruders Seen in  Pawn Stars  Figure s House","Neutral"
"286","Desperate for Presidential Leadership  Republicans Find Little","Very Negative"
"287","Drought Busting Snow Pushes Tahoe to Highest Mark Since 2006","Negative"
"288","Massive Debris Pile Emerges From Water Near Troubled Dam","Negative"
"289","Official  Yemen Raid Yields Data on Al Qaida Explosives","Neutral"
"290","Tibet Women s Soccer Team Denied US Travel Visas","Negative"
"291","House GOP Rejects Dem Effort for Info on Trump Russia Probes","Negative"
"292","North Carolina School Board Rejects Ban on Confederate Flag","Negative"
"293","Criticism Remains as Town Gives Early OK for Muslim Cemetery","Negative"
"294","Mom Found Passed Out With Baby Charged With Child Neglect","Negative"
"295","Trump Offers Mixed Messages on Immigration","Neutral"
"296","Restaurant Tells American Legion Officers to Remove Vests","Neutral"
"297","Jailer  Inmate Smuggles in Drug That Sends 6 to Hospital","Neutral"
"298","LG to Build  250M Plant in Tennessee  Creating 600 Jobs","Neutral"
"299"," Stay Classy  USC   Ferrell to Speak at School s Graduation","Positive"
"300","Immigrant Woman Arrested in Courthouse Formally Charged","Neutral"
"301","Democratic Congressman Schiff Says Sessions Should Resign","Neutral"
"302","Welcome Refugees  Churches Say in a Public Challenge to Trump","Positive"
"303","Texas   Sandra Bland  Bill Would Revamp Profiling Laws","Negative"
"304","No Complaints of Judge Over Sentence in Locker Room Assault","Neutral"
"305","Grandson of New York Crime Boss Gotti Gets Prison for Drug Sales","Very Negative"
"306","Under Trump  an Already Depleted I R S  Could Face Deep Cuts","Very Negative"
"307","Deal Made After Mexican Man Died at Border Gets Initial OK","Negative"
"308","Chicago Woman Convicted in Torture Death of Granddaughter  8","Very Negative"
"309","The Latest  Judge Agrees to Keep Shooter s Wife in Jail","Neutral"
"310","FBI to Review Muslim Teen s Hanging Death in Washington State","Negative"
"311","Governors Met on Obamacare Replacement Plan With Pence","Neutral"
"312","EPA Withdraws Obama Era Request for Data on Oil  Natural Gas","Neutral"
"313","Democrats Still Looking for Answers on Immigration Arrests","Neutral"
"314","New Interior Head Lifts Lead Ammunition Ban in Nod to Hunters","Positive"
"315","Eight Year Old Canadian Goalie s Dance Moves Go Viral","Neutral"
"316","Barge Breakaway Leads to Waterway Closure on Ohio River  Coast Guard","Neutral"
"317","College Students Protest Speaker Branded White Nationalist","Negative"
"318","Father  Deputy Shoved Mom When She Tried to Hold Son s Body","Neutral"
"319","Sessions Story Takes Different Shape on Different Outlets","Very Negative"
"320","Trump s Nominee to Run Medicare and Medicaid Advances","Neutral"
"321","New Interior Secretary Zinke Reverses Lead Ammunition Ban","Positive"
"322","Trump Slump  Signs of Drop in International Tourism to US","Negative"
"323","Two More Trump Campaign Officials Met Russian Envoy  USA Today","Positive"
"324","Second Hawaii Bill Seeking Fishing Industry Oversight Dies","Very Negative"
"325","Partisanship Rift Continues in House Panel Probing Russia","Negative"
"326","Man Admits to Running  54M Green Energy Ponzi Scheme","Neutral"
"327","Sessions   I Have Recused Myself ","Neutral"
"328","How Major US Stock Market Indexes Fared on Thursday","Neutral"
"329","Fowl Play  Wild Turkeys Caught on Video Circling Dead Cat","Very Negative"
"330","Cherry Blossoms in Washington Could Peak Early","Neutral"
"331","Libertarian Party Earns Political Party Status in Iowa","Neutral"
"332","Man Accused of Vandalizing Mosque Is Charged With Hate Crime","Very Negative"
"333","Ex Christie Associates Lose Bid for New Trial in  Bridgegate  Case","Negative"
"334","5 Former New Hampshire Prep School Staffers Accused of Abuse","Very Negative"
"335","Trump s EPA Budget Proposal Targets Climate  Lead Cleanup Programs","Positive"
"336","Senate Roll Call Vote on House Secretary","Neutral"
"337","Disturbance Leaves 2 Inmates Dead at Nebraska Prison","Very Negative"
"338","CEO  Hard Rock Still Wants Casino Near NYC After Taj Mahal","Negative"
"339","Senate Roll Call Vote on Energy Secretary","Neutral"
"340","US Judge  Nevada Rancher s Son Must Pay  587K  Remove Cattle","Neutral"
"341","John Gotti s Grandson Gets 8 Years in Prison in Drug Case","Negative"
"342","Sulfuric Acid Found Leaking From Tank Outside Nuclear Plant","Very Negative"
"343","Mississippi May Use Gas Chamber  Electrocution for Execution","Neutral"
"344","AP FACT CHECK  US Military Not as Threadbare as Trump Says","Neutral"
"345","Louisville Police Release Body Camera Footage in Shooting","Neutral"
"346","Blizzard Dumps Snow on Hawaii  California Set for Record Winter Rain","Negative"
"347","Not So Urgent Anymore  Trump s New Travel Ban Delayed","Neutral"
"348","Estranged Wife  Biden Son Wasted Money on Drugs  Prostitutes","Very Negative"
"349","Kushner and Flynn Met With Russian Envoy in December  White House Says","Neutral"
"350","Prosecutor Again Says He Won t Pursue Case Against Christie","Neutral"
"351","Sessions  Talks With Russian Ambassador Were Not Related to Campaign  White House","Neutral"
"352","Former US Missionary in Haiti Accused of Child Sexual Abuse","Very Negative"
"353","Minnesota Governor Undergoes Surgery for Prostate Cancer","Negative"
"354","Blackjack Player Who Left Casino to Rob Bank Gets Prison","Negative"
"355","Minnesota Governor Recovering From Prostate Cancer Surgery","Negative"
"356","Sessions on Russian Controversy","Negative"
"357","APNewsBreak  GOP Health Plan Could Cost Minnesota Billions","Neutral"
"358","Fundamentalist Pastor Charged in Toddler s Pneumonia Death","Negative"
"359","The Latest  GOP Field for Montana US House Race Narrows to 6","Neutral"
"360","Police  Veteran Officer ID d in Fatal Shooting in Virginia","Negative"
"361","Trump Says Wants Defense Buildup to Project U S  Power Abroad","Neutral"
"362","North Dakota Casino Proposal Risks Angering Tribes","Negative"
"363","AP FACT CHECK  Democrat Forgets Her Own Russian Meetings","Neutral"
"364","U S  Attorney General Sessions to Hold a News Conference on Thursday","Neutral"
"365","US Urges More China Pressure on NKorea Nuke Program","Positive"
"366","Story of 2 Boys  1 White and 1 Black  Teaches Racial Harmony","Positive"
"367","Questions and Answers About Perjury  Sessions  Statements","Neutral"
"368","FBI to Review Case of Muslim Teen Found Dead in Washington","Negative"
"369","The Latest  Oregon Mother  Son Succumb to Injuries From Fire","Negative"
"370","Police  Bound Woman Locked in Closet  Not Found for 4 Days","Neutral"
"371","Long Term Mortgage Rates Fall  30 Year Average 4 10 Percent","Negative"
"372","Kansas Supreme Court Says State Education Spending Is Too Low","Neutral"
"373","A Look at the Known Ties Between Trump Associates and Russia","Neutral"
"374","The Latest  1 of 3 Slain Teens Had Feuded With Gang Member","Neutral"
"375","Oscar Flub Accountants Get Security Protection Guards","Neutral"
"376","Fat Finger  Typo Caused Amazon s Big Cloud Computing Outage","Very Negative"
"377","Zoey Deutch Carves Her Own Path in Hollywood","Neutral"
"378","Court  Officials  Emails on Private Accounts Are Public","Neutral"
"379","A Young Immigrant Spoke Out About Her Deportation Fears  Then She Was Detained ","Negative"
"380","Zoo s Pregnant Giraffe  April  Is a Live Streaming Sensation","Positive"
"381","Senate Confirms Rick Perry as Energy Secretary","Neutral"
"382","Judge Says Pulse Gunman s Wife Should Stay in Jail  for Now","Neutral"
"383","Senate Confirms Trump Pick Perry as Energy Secretary","Neutral"
"384","Iowa Lawmaker Says Business Degree Was Sizzler Certificate","Neutral"
"385","Sticking With Trump  Republicans Resist Call for Broader Russian Inquiry","Neutral"
"386","Prosecutor  No Charges in Deadly Wal Mart Crash in Iowa","Neutral"
"387","2 Get Prison Terms in 4 Killings at Indianapolis Drug House","Negative"
"388","Apple  IBM  Microsoft Back Transgender Teen at Supreme Court","Positive"
"389","The Latest  Suspect in Multistate Crimes Charged in Kansas","Negative"
"390","The Latest  2 Officers to Remain Jailed in Racketeering Case","Neutral"
"391","Doctor Charged in Deadly Sale of Unneeded Pain Pill Scrips","Very Negative"
"392","The Latest  Caterpillar Says Warrant Is About Swiss Business","Neutral"
"393","Ryan Zinke Hoofs It to Work","Neutral"
"394","Ford Recalling Nearly 32 000 Vehicles for Air Bag Defect","Negative"
"395","2 Salvadoran Murder  Kidnapping Suspects Had Satanic Shrine","Negative"
"396","Highlights  The Trump Presidency on March 2 at 5 35 P m  ET","Neutral"
